/* DATA DESCRIPTION:
Citation:	Jouzel, Jean; Masson-Delmotte, Valerie (2007): EPICA Dome C Ice Core 800KYr deuterium data and temperature estimates. PANGAEA, https://doi.org/10.1594/PANGAEA.683655, 
	Supplement to: Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, B; Nouet, J; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfus J; Leuenberger, Markus C; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enrico; Souchez, Roland; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric W (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
Abstract:	A high-resolution deuterium profile is now available along the entire European Project for Ice Coring in Antarctica Dome C ice core, extending this climate record back to marine isotope stage 20.2, ~800,000 years ago. Experiments performed with an atmospheric general circulation model including water isotopes support its temperature interpretation. We assessed the general correspondence between Dansgaard-Oeschger events and their smoothed Antarctic counterparts for this Dome C record, which reveals the presence of such features with similar amplitudes during previous glacial periods. We suggest that the interplay between obliquity and precession accounts for the variable intensity of interglacial periods in ice core records.
	Temperature was estimated after correction for sea-water isotopic composition (Bintanja et al, 2005) and for ice sheet elevation (Parrenin et al, 2007) on EDC3 age scale (Parrenin et al, 2007).
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: http://www.esf.org/index.php?id=855)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	δ Deuterium [‰ SMOW] (δD) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: LSCE, analytical accuracy of 0.5 per mil
	Temperature, difference [°C] (delta T) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Calculated * COMMENT: Temperature difference from the average of the last 1000 years
	Sample ID (Sample ID) * PI: Masson-Delmotte, Valerie * COMMENT: Bag number
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	23173 data points
*/
Depth ice/snow [m]	Age model [ka]	δD [‰ SMOW]	delta T [°C]	Sample ID
1640.10	125.129	-391.8	0.92	2983
1640.65	125.172	-389.7	1.27	2984
1641.20	125.215	-385.2	2.01	2985
1641.75	125.256	-386.8	1.74	2986
1642.30	125.297	-388.6	1.44	2987
1642.85	125.339	-391.5	0.96	2988
1643.40	125.383	-385.8	1.90	2989
1643.95	125.424	-387.1	1.68	2990
1644.50	125.465	-385.0	2.03	2991
1645.05	125.506	-385.2	1.99	2992
1645.60	125.546	-390.3	1.14	2993
1646.15	125.589	-389.5	1.27	2994
1646.70	125.632	-389.1	1.33	2995
1647.25	125.674	-388.1	1.50	2996
1647.80	125.717	-390.6	1.08	2997
1648.35	125.760	-387.3	1.62	2998
1648.90	125.803	-393.5	0.59	2999
1649.45	125.848	-395.8	0.21	3000
1650.00	125.894	-384.4	2.09	3001
1650.55	125.935	-388.6	1.39	3002
1651.10	125.978	-390.5	1.08	3003
1651.65	126.022	-390.3	1.11	3004
1652.20	126.064	-383.2	2.28	3005
1652.75	126.106	-392.2	0.79	3006
1653.30	126.148	-384.0	2.14	3007
1653.85	126.189	-391.8	0.84	3008
1654.40	126.233	-391.4	0.91	3009
1654.95	126.277	-384.4	2.06	3010
1655.50	126.318	-384.4	2.06	3011
1656.05	126.359	-394.2	0.43	3012
1656.60	126.403	-390.1	1.11	3013
1657.15	126.448	-394.8	0.33	3014
1657.70	126.494	-393.8	0.49	3015
1658.25	126.541	-388.7	1.33	3016
1658.80	126.583	-389.7	1.16	3017
1659.35	126.626	-386.0	1.77	3018
1659.90	126.668	-385.1	1.91	3019
1660.45	126.708	-387.6	1.50	3020
1661.00	126.749	-382.2	2.39	3021
1661.55	126.789	-380.9	2.60	3022
1662.10	126.827	-383.6	2.14	3023
1662.65	126.866	-382.7	2.29	3024
1663.20	126.904	-377.1	3.21	3025
1663.75	126.940	-381.2	2.53	3026
1664.30	126.978	-377.2	3.18	3027
1664.85	127.015	-383.5	2.14	3028
1665.40	127.053	-379.5	2.79	3029
1665.95	127.090	-377.0	3.20	3030
1666.50	127.126	-380.3	2.65	3031
1667.05	127.164	-384.8	1.90	3032
1667.60	127.203	-383.2	2.16	3033
1668.15	127.243	-382.6	2.25	3034
1668.70	127.281	-380.4	2.61	3035
1669.25	127.319	-378.9	2.86	3036
1669.80	127.357	-386.1	1.66	3037
1670.35	127.397	-384.7	1.89	3038
1670.90	127.437	-383.5	2.08	3039
1671.45	127.476	-378.0	2.98	3040
1672.00	127.512	-375.9	3.33	3041
1672.55	127.548	-381.2	2.44	3042
1673.10	127.586	-379.2	2.77	3043
1673.65	127.622	-378.1	2.95	3044
1674.20	127.660	-383.5	2.04	3045
1674.75	127.698	-378.0	2.95	3046
1675.30	127.735	-374.1	3.59	3047
1675.85	127.773	-376.1	3.25	3048
1676.40	127.810	-378.7	2.81	3049
1676.95	127.846	-369.1	4.40	3050
1677.50	127.879	-375.3	3.36	3051
1678.05	127.913	-371.8	3.93	3052
1678.60	127.947	-369.4	4.32	3053
1679.15	127.979	-368.7	4.43	3054
1679.70	128.013	-375.1	3.36	3055
1680.25	128.047	-371.4	3.97	3056
1680.80	128.079	-376.0	3.20	3057
1681.35	128.113	-374.3	3.47	3058
1681.90	128.147	-375.5	3.26	3059
1682.45	128.182	-368.7	4.38	3060
1683.00	128.215	-379.6	2.56	3061
1683.55	128.249	-366.1	4.79	3062
1684.10	128.284	-370.8	4.00	3063
1684.65	128.317	-377.4	2.90	3064
1685.20	128.349	-370.2	4.08	3065
1685.75	128.380	-373.9	3.46	3066
1686.30	128.412	-365.8	4.79	3067
1686.85	128.443	-366.2	4.71	3068
1687.40	128.474	-370.1	4.06	3069
1687.95	128.506	-365.2	4.86	3070
1688.50	128.537	-371.3	3.84	3071
1689.05	128.567	-375.7	3.10	3072
1689.60	128.598	-372.2	3.66	3073
1690.15	128.631	-365.0	4.84	3074
1690.70	128.662	-361.2	5.46	3075
1691.25	128.694	-370.2	3.96	3076
1691.80	128.726	-373.9	3.34	3077
1692.35	128.759	-368.0	4.30	3078
1692.90	128.791	-366.2	4.59	3079
1693.45	128.822	-366.6	4.51	3080
1694.00	128.855	-374.7	3.16	3081
1694.55	128.889	-370.8	3.79	3082
1695.10	128.922	-370.2	3.88	3083
1695.65	128.956	-379.4	2.35	3084
1696.20	128.991	-372.3	3.52	3085
1696.75	129.024	-371.4	3.66	3086
1697.30	129.058	-365.6	4.61	3087
1697.85	129.090	-373.0	3.38	3088
1698.40	129.125	-374.5	3.12	3089
1698.95	129.158	-368.6	4.09	3090
1699.50	129.191	-370.3	3.80	3091
1700.05	129.224	-370.4	3.77	3092
1700.60	129.256	-365.6	4.56	3093
1701.15	129.287	-377.1	2.65	3094
1701.70	129.323	-375.0	2.98	3095
1702.25	129.358	-375.6	2.88	3096
1702.80	129.393	-366.6	4.35	3097
1703.35	129.425	-372.1	3.44	3098
1703.90	129.459	-374.3	3.06	3099
1704.45	129.493	-370.0	3.77	3100
1705.00	129.526	-373.0	3.26	3101
1705.55	129.560	-372.6	3.32	3102
1706.10	129.594	-371.7	3.46	3103
1706.65	129.627	-372.2	3.37	3104
1707.20	129.661	-373.9	3.08	3105
1707.75	129.696	-380.8	1.93	3106
1708.30	129.734	-377.8	2.42	3107
1708.85	129.770	-370.0	3.70	3108
1709.40	129.804	-372.3	3.31	3109
1709.95	129.838	-374.6	2.92	3110
1710.50	129.873	-373.6	3.08	3111
1711.05	129.907	-371.9	3.35	3112
1711.60	129.941	-378.1	2.31	3113
1712.15	129.977	-375.6	2.72	3114
1712.70	130.013	-374.4	2.91	3115
1713.25	130.049	-371.4	3.39	3116
1713.80	130.083	-382.4	1.57	3117
1714.35	130.122	-379.0	2.12	3118
1714.90	130.158	-374.7	2.82	3119
1715.45	130.194	-378.5	2.19	3120
1716.00	130.231	-380.1	1.91	3121
1716.55	130.268	-375.8	2.61	3122
1717.10	130.305	-374.9	2.75	3123
1717.65	130.341	-381.4	1.67	3124
1718.20	130.380	-381.5	1.64	3125
1718.75	130.417	-371.7	3.25	3126
1719.30	130.456	-386.7	0.77	3127
1719.85	130.496	-384.4	1.14	3128
1720.40	130.537	-378.2	2.15	3129
1720.95	130.575	-381.8	1.55	3130
1721.50	130.614	-383.0	1.34	3131
1722.05	130.655	-385.7	0.89	3132
1722.60	130.697	-384.7	1.04	3133
1723.15	130.738	-384.9	1.00	3134
1723.70	130.780	-386.0	0.81	3135
1724.25	130.822	-385.4	0.90	3136
1724.80	130.865	-391.9	-0.18	3137
1725.35	130.910	-388.2	0.42	3138
1725.90	130.954	-386.9	0.63	3139
1726.45	130.998	-387.9	0.46	3140
1727.00	131.041	-388.2	0.40	3141
1727.55	131.085	-385.9	0.77	3142
1728.10	131.128	-388.4	0.35	3143
1728.65	131.173	-392.4	-0.32	3144
1729.20	131.219	-388.0	0.40	3145
1729.75	131.264	-387.4	0.49	3146
1730.30	131.308	-389.9	0.07	3147
1730.85	131.353	-385.7	0.75	3148
1731.40	131.396	-391.6	-0.23	3149
1731.95	131.442	-390.9	-0.12	3150
1732.50	131.488	-400.2	-1.67	3151
1733.05	131.541	-397.1	-1.17	3152
1733.60	131.592	-394.2	-0.69	3153
1734.15	131.641	-396.8	-1.13	3154
1734.70	131.692	-396.5	-1.09	3155
1735.25	131.742	-399.5	-1.59	3156
1735.80	131.795	-399.0	-1.52	3157
1736.35	131.848	-400.4	-1.76	3158
1736.90	131.901	-400.5	-1.78	3159
1737.45	131.955	-398.0	-1.38	3160
1738.00	132.008	-406.9	-2.85	3161
1738.55	132.066	-405.3	-2.60	3162
1739.10	132.123	-398.7	-1.52	3163
1739.65	132.177	-399.5	-1.66	3164
1740.20	132.230	-397.5	-1.33	3165
1740.75	132.282	-402.1	-2.10	3166
1741.30	132.337	-403.4	-2.32	3167
1741.85	132.393	-403.1	-2.28	3168
1742.40	132.450	-408.3	-3.15	3169
1742.95	132.506	-402.1	-2.13	3170
1743.50	132.564	-408.2	-3.14	3171
1744.05	132.624	-408.9	-3.27	3172
1744.60	132.687	-405.6	-2.73	3173
1745.15	132.746	-410.0	-3.46	3174
1745.70	132.809	-408.8	-3.27	3175
1746.25	132.871	-411.6	-3.74	3176
1746.80	132.935	-410.4	-3.55	3177
1747.35	133.000	-415.2	-4.35	3178
1747.90	133.067	-413.8	-4.13	3179
1748.45	133.134	-407.1	-3.03	3180
1749.00	133.195	-408.2	-3.21	3181
1749.55	133.258	-417.2	-4.71	3182
1750.10	133.327	-417.0	-4.68	3183
1750.65	133.397	-410.2	-3.57	3184
1751.20	133.461	-406.7	-2.99	3185
1751.75	133.524	-410.9	-3.70	3186
1752.30	133.588	-415.6	-4.48	3187
1752.85	133.658	-417.5	-4.80	3188
1753.40	133.729	-420.6	-5.32	3189
1753.95	133.803	-410.5	-3.66	3190
1754.50	133.870	-418.7	-5.02	3191
1755.05	133.941	-417.6	-4.84	3192
1755.60	134.014	-419.6	-5.18	3193
1756.15	134.087	-422.7	-5.70	3194
1756.70	134.164	-416.3	-4.65	3195
1757.25	134.236	-422.1	-5.61	3196
1757.80	134.313	-421.3	-5.48	3197
1758.35	134.389	-421.2	-5.47	3198
1758.90	134.466	-423.7	-5.89	3199
1759.45	134.545	-423.0	-5.79	3200
1760.00	134.624	-422.8	-5.76	3201
1760.55	134.703	-426.1	-6.31	3202
1761.10	134.785	-424.6	-6.07	3203
1761.65	134.866	-425.9	-6.29	3204
1762.20	134.949	-429.4	-6.88	3205
1762.75	135.036	-438.2	-8.34	3206
1763.30	135.124	-430.0	-6.99	3207
1763.85	135.213	-434.0	-7.66	3208
1764.40	135.307	-434.6	-7.77	3209
1764.95	135.402	-434.3	-7.73	3210
1765.50	135.497	-434.7	-7.80	3211
1766.05	135.593	-430.7	-7.15	3212
1766.60	135.691	-428.7	-6.83	3213
1767.15	135.779	-435.8	-8.01	3214
1767.70	135.876	-432.5	-7.47	3215
1768.25	135.968	-426.8	-6.54	3216
1768.80	136.055	-431.9	-7.39	3217
1769.35	136.147	-437.9	-8.39	3218
1769.90	136.248	-434.8	-7.89	3219
1770.45	136.345	-438.3	-8.48	3220
1771.00	136.447	-439.8	-8.73	3221
1771.55	136.552	-440.0	-8.77	3222
1772.10	136.656	-436.9	-8.27	3223
1772.65	136.752	-438.3	-8.51	3224
1773.20	136.853	-435.9	-8.12	3225
1773.75	136.953	-437.9	-8.46	3226
1774.30	137.056	-439.2	-8.68	3227
1774.85	137.159	-431.6	-7.44	3228
1775.40	137.253	-431.7	-7.46	3229
1775.95	137.347	-436.6	-8.28	3230
1776.50	137.448	-435.5	-8.11	3231
1777.05	137.547	-433.4	-7.77	3232
1777.60	137.647	-436.9	-8.35	3233
1778.15	137.743	-438.3	-8.59	3234
1778.70	137.847	-435.8	-8.19	3235
1779.25	137.947	-433.2	-7.77	3236
1779.80	138.046	-436.6	-8.33	3237
1780.35	138.147	-434.9	-8.06	3238
1780.90	138.247	-437.5	-8.49	3239
1781.45	138.350	-437.7	-8.53	3240
1782.00	138.454	-434.0	-7.93	3241
1782.55	138.554	-439.6	-8.85	3242
1783.10	138.659	-440.5	-9.01	3243
1783.65	138.763	-439.1	-8.78	3244
1784.20	138.870	-443.0	-9.43	3245
1784.75	138.983	-440.8	-9.07	3246
1785.30	139.093	-440.0	-8.94	3247
1785.85	139.201	-442.3	-9.32	3248
1786.40	139.310	-438.9	-8.77	3249
1786.95	139.417	-437.5	-8.54	3250
1787.50	139.522	-437.6	-8.57	3251
1788.05	139.627	-439.3	-8.85	3252
1788.60	139.735	-441.0	-9.14	3253
1789.15	139.846	-437.0	-8.48	3254
1789.70	139.951	-440.9	-9.13	3255
1790.25	140.060	-434.1	-8.01	3256
1790.80	140.163	-441.2	-9.19	3257
1791.35	140.273	-440.7	-9.11	3258
1791.90	140.384	-436.8	-8.47	3259
1792.45	140.488	-435.3	-8.22	3260
1793.00	140.591	-440.4	-9.06	3261
1793.55	140.701	-438.0	-8.67	3262
1794.10	140.809	-440.1	-9.02	3263
1794.65	140.919	-440.8	-9.13	3264
1795.20	141.030	-441.0	-9.17	3265
1795.75	141.142	-438.5	-8.76	3266
1796.30	141.250	-439.0	-8.84	3267
1796.85	141.359	-436.2	-8.38	3268
1797.40	141.464	-438.8	-8.81	3269
1797.95	141.573	-442.0	-9.33	3270
1798.50	141.686	-433.9	-8.00	3271
1799.05	141.787	-433.6	-7.95	3272
1799.60	141.888	-437.0	-8.51	3273
1800.15	141.993	-432.8	-7.82	3274
1800.70	142.093	-436.4	-8.42	3275
1801.25	142.198	-438.6	-8.78	3276
1801.80	142.307	-441.7	-9.29	3277
1802.35	142.420	-437.6	-8.61	3278
1802.90	142.528	-438.2	-8.71	3279
1803.45	142.636	-434.8	-8.15	3280
1804.00	142.739	-435.5	-8.27	3281
1804.55	142.843	-431.8	-7.66	3282
1805.10	142.941	-435.3	-8.23	3283
1805.65	143.045	-439.4	-8.91	3284
1806.20	143.156	-439.0	-8.84	3285
1806.75	143.266	-440.2	-9.04	3286
1807.30	143.377	-434.1	-8.04	3287
1807.85	143.479	-430.8	-7.50	3288
1808.40	143.578	-437.0	-8.51	3289
1808.95	143.684	-440.6	-9.10	3290
1809.50	143.796	-436.0	-8.35	3291
1810.05	143.903	-440.5	-9.09	3292
1810.60	144.015	-439.2	-8.87	3293
1811.15	144.125	-434.3	-8.07	3294
1811.70	144.229	-431.7	-7.64	3295
1812.25	144.328	-435.7	-8.30	3296
1812.80	144.433	-436.0	-8.34	3297
1813.35	144.538	-436.8	-8.47	3298
1813.90	144.645	-433.5	-7.93	3299
1814.45	144.748	-436.8	-8.47	3300
1815.00	144.854	-435.6	-8.27	3301
1815.55	144.959	-433.4	-7.91	3302
1816.10	145.063	-439.8	-8.96	3303
1816.65	145.173	-435.3	-8.22	3304
1817.20	145.279	-434.6	-8.10	3305
1817.75	145.382	-433.5	-7.92	3306
1818.30	145.485	-440.0	-8.99	3307
1818.85	145.597	-436.4	-8.39	3308
1819.40	145.705	-438.9	-8.80	3309
1819.95	145.816	-441.9	-9.29	3310
1820.50	145.932	-439.0	-8.82	3311
1821.05	146.043	-430.3	-7.38	3312
1821.60	146.141	-434.6	-8.09	3313
1822.15	146.245	-437.0	-8.48	3314
1822.70	146.353	-436.1	-8.33	3315
1823.25	146.459	-433.9	-7.97	3316
1823.80	146.563	-435.2	-8.18	3317
1824.35	146.665	-426.9	-6.82	3318
1824.90	146.753	-436.1	-8.33	3319
1825.45	146.857	-432.0	-7.65	3320
1826.00	146.958	-433.5	-7.90	3321
1826.55	147.060	-431.3	-7.54	3322
1827.10	147.161	-435.7	-8.26	3323
1827.65	147.267	-437.9	-8.62	3324
1828.20	147.376	-438.9	-8.78	3325
1828.75	147.488	-439.5	-8.87	3326
1829.30	147.600	-437.2	-8.49	3327
1829.85	147.710	-439.1	-8.80	3328
1830.40	147.821	-434.7	-8.07	3329
1830.95	147.926	-430.2	-7.33	3330
1831.50	148.024	-430.3	-7.35	3331
1832.05	148.123	-435.5	-8.20	3332
1832.60	148.228	-432.2	-7.66	3333
1833.15	148.327	-429.1	-7.15	3334
1833.70	148.424	-433.9	-7.94	3335
1834.25	148.527	-435.2	-8.15	3336
1834.80	148.633	-436.6	-8.38	3337
1835.35	148.741	-436.2	-8.31	3338
1835.90	148.849	-432.2	-7.65	3339
1836.45	148.951	-435.2	-8.14	3340
1837.00	149.057	-436.2	-8.31	3341
1837.55	149.164	-434.9	-8.09	3342
1838.10	149.270	-437.3	-8.49	3343
1838.65	149.379	-433.5	-7.86	3344
1839.20	149.483	-433.5	-7.86	3345
1839.75	149.586	-427.7	-6.91	3346
1840.30	149.682	-433.4	-7.84	3347
1840.85	149.784	-427.8	-6.92	3348
1841.40	149.880	-429.1	-7.14	3349
1841.95	149.976	-428.3	-7.00	3350
1842.50	150.072	-428.0	-6.96	3351
1843.05	150.167	-427.8	-6.92	3352
1843.60	150.263	-429.3	-7.17	3353
1844.15	150.360	-428.5	-7.04	3354
1844.70	150.456	-431.6	-7.55	3355
1845.25	150.557	-431.6	-7.55	3356
1845.80	150.658	-430.2	-7.31	3357
1846.35	150.757	-431.5	-7.53	3358
1846.90	150.857	-430.9	-7.43	3359
1847.45	150.958	-432.3	-7.66	3360
1848.00	151.060	-433.0	-7.77	3361
1848.55	151.163	-430.9	-7.42	3362
1849.10	151.263	-429.3	-7.16	3363
1849.65	151.362	-435.1	-8.11	3364
1850.20	151.467	-428.4	-7.01	3365
1850.75	151.565	-432.0	-7.60	3366
1851.30	151.667	-432.6	-7.70	3367
1851.85	151.770	-432.3	-7.65	3368
1852.40	151.872	-433.0	-7.76	3369
1852.95	151.976	-433.3	-7.81	3370
1853.50	152.081	-434.0	-7.93	3371
1854.05	152.186	-432.1	-7.61	3372
1854.60	152.289	-431.0	-7.43	3373
1855.15	152.389	-432.4	-7.66	3374
1855.70	152.493	-430.8	-7.40	3375
1856.25	152.593	-429.4	-7.17	3376
1856.80	152.689	-431.1	-7.45	3377
1857.35	152.791	-435.3	-8.14	3378
1857.90	152.898	-433.4	-7.83	3379
1858.45	152.991	-433.7	-7.88	3380
1859.00	153.096	-433.7	-7.88	3381
1859.55	153.202	-434.9	-8.07	3382
1860.10	153.310	-438.4	-8.65	3383
1860.65	153.423	-433.9	-7.91	3384
1861.20	153.530	-433.8	-7.89	3385
1861.75	153.636	-432.3	-7.64	3386
1862.30	153.741	-434.3	-7.97	3387
1862.85	153.848	-436.7	-8.36	3388
1863.40	153.960	-441.2	-9.10	3389
1863.95	154.078	-440.6	-9.00	3390
1864.50	154.196	-434.7	-8.03	3391
1865.05	154.305	-435.7	-8.19	3392
1865.60	154.415	-437.2	-8.43	3393
1866.15	154.527	-438.4	-8.63	3394
1866.70	154.641	-442.4	-9.28	3395
1867.25	154.762	-440.9	-9.03	3396
1867.80	154.882	-439.0	-8.72	3397
1868.35	154.998	-441.3	-9.09	3398
1868.90	155.117	-440.3	-8.93	3399
1869.45	155.235	-437.6	-8.48	3400
1870.00	155.349	-437.9	-8.53	3401
1870.55	155.464	-442.3	-9.25	3402
1871.10	155.584	-436.9	-8.36	3403
1871.65	155.697	-437.0	-8.38	3404
1872.20	155.810	-438.5	-8.62	3405
1872.75	155.925	-440.7	-8.99	3406
1873.30	156.044	-446.4	-9.92	3407
1873.85	156.174	-447.1	-10.03	3408
1874.40	156.306	-444.3	-9.58	3409
1874.95	156.436	-439.5	-8.78	3410
1875.50	156.554	-440.6	-8.96	3411
1876.05	156.674	-444.6	-9.61	3412
1876.60	156.799	-438.0	-8.53	3413
1877.15	156.915	-440.5	-8.94	3414
1877.70	157.032	-439.5	-8.77	3415
1878.25	157.149	-438.7	-8.64	3416
1878.80	157.267	-444.1	-9.52	3417
1879.35	157.392	-441.9	-9.16	3418
1879.90	157.513	-436.5	-8.27	3419
1880.45	157.627	-437.4	-8.41	3420
1881.00	157.742	-439.8	-8.82	3421
1881.55	157.856	-437.8	-8.48	3422
1882.10	157.972	-441.2	-9.04	3423
1882.65	158.092	-440.7	-8.95	3424
1883.20	158.193	-441.1	-9.02	3425
1883.75	158.293	-445.4	-9.73	3426
1884.30	158.397	-441.4	-9.07	3427
1884.85	158.497	-435.6	-8.11	3428
1885.40	158.607	-434.4	-7.92	3429
1885.95	158.713	-432.3	-7.57	3430
1886.50	158.813	-430.6	-7.29	3431
1887.05	158.911	-423.1	-6.06	3432
1887.60	159.010	-425.9	-6.52	3433
1888.15	159.105	-421.1	-5.74	3434
1888.70	159.200	-427.9	-6.86	3435
1889.25	159.298	-431.7	-7.49	3436
1889.80	159.387	-428.7	-6.99	3437
1890.35	159.490	-428.3	-6.93	3438
1890.90	159.588	-430.5	-7.30	3439
1891.45	159.692	-431.0	-7.38	3440
1892.00	159.796	-432.2	-7.58	3441
1892.55	159.897	-434.5	-7.96	3442
1893.10	160.002	-431.5	-7.46	3443
1893.65	160.106	-431.5	-7.47	3444
1894.20	160.209	-431.0	-7.39	3445
1894.75	160.323	-432.9	-7.70	3446
1895.30	160.432	-432.1	-7.57	3447
1895.85	160.539	-432.1	-7.57	3448
1896.40	160.644	-435.7	-8.17	3449
1896.95	160.756	-434.8	-8.02	3450
1897.50	160.868	-435.3	-8.10	3451
1898.05	160.981	-436.1	-8.23	3452
1898.60	161.097	-434.7	-8.00	3453
1899.15	161.210	-441.0	-9.04	3454
1899.70	161.330	-440.0	-8.87	3455
1900.25	161.443	-435.5	-8.13	3456
1900.80	161.558	-430.1	-7.24	3457
1901.35	161.663	-428.2	-6.93	3458
1901.90	161.764	-431.9	-7.54	3459
1902.45	161.877	-427.0	-6.73	3460
1903.00	161.974	-426.3	-6.62	3461
1903.55	162.077	-424.9	-6.39	3462
1904.10	162.178	-425.4	-6.47	3463
1904.65	162.278	-423.8	-6.21	3464
1905.20	162.375	-428.0	-6.91	3465
1905.75	162.476	-423.5	-6.17	3466
1906.30	162.570	-430.5	-7.32	3467
1906.85	162.672	-433.5	-7.82	3468
1907.40	162.775	-427.5	-6.83	3469
1907.95	162.877	-428.3	-6.97	3470
1908.50	162.979	-427.8	-6.88	3471
1909.05	163.080	-428.0	-6.92	3472
1909.60	163.182	-431.2	-7.45	3473
1910.15	163.289	-429.2	-7.12	3474
1910.70	163.393	-438.1	-8.58	3475
1911.25	163.506	-437.7	-8.52	3476
1911.80	163.623	-430.9	-7.40	3477
1912.35	163.730	-429.2	-7.12	3478
1912.90	163.835	-437.0	-8.40	3479
1913.45	163.953	-442.4	-9.28	3480
1914.00	164.074	-440.3	-8.93	3481
1914.55	164.198	-443.7	-9.49	3482
1915.10	164.328	-441.5	-9.12	3483
1915.65	164.453	-437.0	-8.38	3484
1916.20	164.572	-438.5	-8.62	3485
1916.75	164.692	-439.3	-8.75	3486
1917.30	164.814	-438.0	-8.54	3487
1917.85	164.934	-436.3	-8.25	3488
1918.40	165.051	-442.0	-9.19	3489
1918.95	165.177	-440.4	-8.92	3490
1919.50	165.297	-438.7	-8.64	3491
1920.05	165.417	-433.4	-7.77	3492
1920.60	165.530	-436.0	-8.19	3493
1921.15	165.646	-439.3	-8.73	3494
1921.70	165.768	-437.2	-8.39	3495
1922.25	165.887	-436.0	-8.19	3496
1922.80	166.003	-434.9	-8.00	3497
1923.35	166.119	-441.5	-9.08	3498
1923.90	166.245	-438.2	-8.54	3499
1924.45	166.358	-435.8	-8.15	3500
1925.00	166.474	-432.7	-7.63	3501
1925.55	166.585	-438.6	-8.60	3502
1926.10	166.706	-437.0	-8.34	3503
1926.65	166.824	-440.3	-8.88	3504
1927.20	166.941	-431.2	-7.38	3505
1927.75	167.050	-432.6	-7.61	3506
1928.30	167.161	-432.2	-7.54	3507
1928.85	167.271	-432.3	-7.56	3508
1929.40	167.380	-431.0	-7.34	3509
1929.95	167.482	-428.8	-6.98	3510
1930.50	167.586	-434.7	-7.95	3511
1931.05	167.700	-431.4	-7.41	3512
1931.60	167.809	-429.9	-7.16	3513
1932.15	167.915	-424.8	-6.32	3514
1932.70	168.015	-427.6	-6.79	3515
1933.25	168.117	-423.2	-6.06	3516
1933.80	168.213	-421.8	-5.83	3517
1934.35	168.309	-427.4	-6.76	3518
1934.90	168.413	-429.4	-7.09	3519
1935.45	168.516	-425.6	-6.46	3520
1936.00	168.616	-426.9	-6.68	3521
1936.55	168.719	-435.8	-8.14	3522
1937.10	168.830	-434.3	-7.89	3523
1937.65	168.937	-425.6	-6.46	3524
1938.20	169.038	-426.3	-6.58	3525
1938.75	169.139	-425.8	-6.49	3526
1939.30	169.239	-427.6	-6.79	3527
1939.85	169.343	-432.1	-7.53	3528
1940.40	169.453	-432.7	-7.63	3529
1940.95	169.565	-432.2	-7.54	3530
1941.50	169.675	-426.7	-6.64	3531
1942.05	169.778	-426.4	-6.59	3532
1942.60	169.881	-435.2	-8.03	3533
1943.15	169.996	-432.9	-7.65	3534
1943.70	170.109	-434.5	-7.91	3535
1944.25	170.226	-435.8	-8.13	3536
1944.80	170.343	-436.9	-8.31	3537
1945.35	170.457	-435.8	-8.12	3538
1945.90	170.569	-436.7	-8.27	3539
1946.45	170.682	-435.8	-8.12	3540
1947.00	170.799	-436.2	-8.18	3541
1947.55	170.916	-437.8	-8.44	3542
1948.10	171.036	-438.6	-8.56	3543
1948.65	171.157	-436.0	-8.13	3544
1949.20	171.275	-436.9	-8.28	3545
